Compra;;;;;Venda;;;;;
Empresa;Data;Qtd; Preço ; Total ;Data;Qtd;Preço; Total ; Lucro ;tx
AZUL4F;10/06/2020;2; R$ 26,32 ; R$ 52,64 ;12/08/2020;2; R$ 24,40 ; R$ 48,80 ;-R$ 3,84 ;-7,29%
EMBR3F;10/06/2020;1; R$ 9,52 ; R$ 9,52 ;03/12/2020;1; R$ 8,80 ; R$ 8,80 ;-R$ 0,72 ;-7,56%
GOLL4F;10/06/2020;2; R$ 23,80 ; R$ 47,60 ;10/07/2020;2; R$ 20,65 ; R$ 41,30 ;-R$ 6,30 ;-13,24%
AMAR3F;12/06/2020;5; R$ 8,50 ; R$ 42,50 ;07/07/2020;5; R$ 9,05 ; R$ 45,25 ; R$ 2,75 ;6,47%
AZUL4F;12/06/2020;2; R$ 21,50 ; R$ 43,00 ;12/08/2020;2; R$ 24,40 ; R$ 48,80 ; R$ 5,80 ;13,49%
EMBR3F;12/06/2020;5; R$ 8,55 ; R$ 42,75 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 1,25 ;2,92%
GOLL4F;12/06/2020;5; R$ 18,23 ; R$ 91,15 ;15/07/2020;5; R$ 21,97 ; R$ 109,85 ; R$ 18,70 ;20,52%
AMAR3F;17/06/2020;5; R$ 8,54 ; R$ 42,70 ;10/07/2020;5; R$ 8,96 ; R$ 44,80 ; R$ 2,10 ;4,92%
AZUL4F;17/06/2020;5; R$ 22,99 ; R$ 114,95 ;12/08/2020;5; R$ 24,40 ; R$ 122,00 ; R$ 7,05 ;6,13%
EMBR3F;17/06/2020;5; R$ 8,82 ; R$ 44,10 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ;-R$ 0,10 ;-0,23%
GOLL4F;17/06/2020;5; R$ 18,73 ; R$ 93,65 ;15/07/2020;5; R$ 21,97 ; R$ 109,85 ; R$ 16,20 ;17,30%
ABEV3F;18/06/2020;3; R$ 13,78 ; R$ 41,34 ;01/07/2020;3; R$ 14,06 ; R$ 42,18 ; R$ 0,84 ;2,03%
ELET3F;18/06/2020;1; R$ 30,15 ; R$ 30,15 ;30/06/2020;1; R$ 31,45 ; R$ 31,45 ; R$ 1,30 ;4,31%
ELET3F;18/06/2020;4; R$ 30,15 ; R$ 120,60 ;30/06/2020;4; R$ 31,50 ; R$ 126,00 ; R$ 5,40 ;4,48%
ELET3F;19/06/2020;5; R$ 30,25 ; R$ 151,25 ;30/06/2020;5; R$ 31,45 ; R$ 157,25 ; R$ 6,00 ;3,97%
AZUL4F;22/06/2020;5; R$ 21,15 ; R$ 105,75 ;12/08/2020;5; R$ 24,40 ; R$ 122,00 ; R$ 16,25 ;15,37%
EMBR3F;22/06/2020;5; R$ 8,45 ; R$ 42,25 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 1,75 ;4,14%
GOLL4F;22/06/2020;5; R$ 18,57 ; R$ 92,85 ;04/09/2020;5; R$ 19,80 ; R$ 99,00 ; R$ 6,15 ;6,62%
AZUL4F;23/06/2020;5; R$ 21,08 ; R$ 105,40 ;12/08/2020;5; R$ 24,50 ; R$ 122,50 ; R$ 17,10 ;16,22%
EMBR3F;23/06/2020;5; R$ 8,58 ; R$ 42,90 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 1,10 ;2,56%
GOLL4F;23/06/2020;5; R$ 18,57 ; R$ 92,85 ;04/09/2020;5; R$ 19,80 ; R$ 99,00 ; R$ 6,15 ;6,62%
ABEV3F;24/06/2020;5; R$ 13,58 ; R$ 67,90 ;01/07/2020;5; R$ 14,06 ; R$ 70,30 ; R$ 2,40 ;3,53%
AZUL4F;25/06/2020;5; R$ 21,03 ; R$ 105,15 ;12/08/2020;5; R$ 24,50 ; R$ 122,50 ; R$ 17,35 ;16,50%
ELET3F;25/06/2020;2; R$ 30,00 ; R$ 60,00 ;30/06/2020;2; R$ 31,50 ; R$ 63,00 ; R$ 3,00 ;5,00%
EMBR3F;25/06/2020;5; R$ 8,11 ; R$ 40,55 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 3,45 ;8,51%
ABEV3F;01/07/2020;8; R$ 14,54 ; R$ 116,32 ;01/07/2020;8; R$ 14,51 ; R$ 116,08 ;-R$ 0,24 ;-0,21%
EMBR3F;01/07/2020;3; R$ 8,11 ; R$ 24,33 ;03/12/2020;3; R$ 8,80 ; R$ 26,40 ; R$ 2,07 ;8,51%
EMBR3F;09/07/2020;4; R$ 8,10 ; R$ 32,40 ;03/12/2020;4; R$ 8,80 ; R$ 35,20 ; R$ 2,80 ;8,64%
ELET3F;10/07/2020;1; R$ 35,88 ; R$ 35,88 ;27/07/2020;1; R$ 39,10 ; R$ 39,10 ; R$ 3,22 ;8,97%
ETER3F;10/07/2020;5; R$ 4,24 ; R$ 21,20 ;16/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 1,20 ;5,66%
ELET3F;13/07/2020;2; R$ 35,83 ; R$ 71,66 ;27/07/2020;2; R$ 39,10 ; R$ 78,20 ; R$ 6,54 ;9,13%
ELET3F;13/07/2020;2; R$ 35,67 ; R$ 71,34 ;27/07/2020;2; R$ 39,10 ; R$ 78,20 ; R$ 6,86 ;9,62%
EMBR3F;13/07/2020;5; R$ 8,09 ; R$ 40,45 ;03/12/2020;5; R$ 8,80 ; R$ 44,00 ; R$ 3,55 ;8,78%
ETER3F;13/07/2020;5; R$ 4,16 ; R$ 20,80 ;16/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 1,60 ;7,69%
ETER3F;13/07/2020;5; R$ 4,02 ; R$ 20,10 ;16/07/2021;5; R$ 4,48 ; R$ 22,40 ; R$ 2,30 ;11,44%
ABEV3F;14/07/2020;4; R$ 13,87 ; R$ 55,48 ;22/07/2020;4; R$ 15,00 ; R$ 60,00 ; R$ 4,52 ;8,15%
