"idinvestiment";"iduser";"idperson";"idsgcompany";"dtbuy";"dtsell";"dtregister"
103;1;7;5;"2020-05-21";"2020-07-01";"2021-04-14 17:03:19"
104;1;7;5;"2020-05-21";"2020-07-01";"2021-04-14 17:03:38"
105;1;9;7;"2020-05-21";"2020-06-02";"2021-04-14 17:04:10"
106;1;9;7;"2020-05-21";"2020-06-02";"2021-04-14 17:04:34"
108;1;5;8;"2020-05-22";"2020-05-25";"2021-04-14 17:06:15"
109;1;5;2;"2020-05-21";"2020-05-25";"2021-04-14 17:06:40"
110;1;9;7;"2020-05-21";"2020-06-02";"2021-04-14 17:07:04"
112;1;11;10;"2020-05-25";"2020-05-27";"2021-04-15 10:25:59"
113;1;11;10;"2020-05-25";"2020-05-27";"2021-04-15 10:31:54"
114;1;11;10;"2020-05-25";"2020-05-27";"2021-04-15 10:32:26"
115;1;11;10;"2020-05-25";"2020-05-27";"2021-04-15 10:32:52"
116;1;7;5;"2020-05-25";"2020-07-01";"2021-04-15 10:33:50"
117;1;9;7;"2020-05-25";"2020-06-02";"2021-04-15 10:34:35"
118;1;9;7;"2020-05-25";"2020-06-02";"2021-04-15 10:35:42"
123;1;11;10;"2020-05-26";"2020-05-27";"2021-04-15 10:52:02"
124;1;10;9;"2020-05-26";"2020-05-27";"2021-04-15 10:56:51"
125;1;10;9;"2020-05-26";"2020-05-27";"2021-04-15 10:57:18"
126;1;13;11;"2020-05-27";"2020-05-27";"2021-04-15 10:58:37"
127;1;10;9;"2020-05-27";"2020-05-27";"2021-04-15 10:59:34"
128;1;13;11;"2020-05-27";"2020-05-28";"2021-04-15 11:00:20"
129;1;5;8;"2020-05-27";"2020-05-29";"2021-04-15 11:00:50"
130;1;8;6;"2020-05-27";"2020-06-01";"2021-04-15 11:01:34"
131;1;8;6;"2020-05-27";"2020-06-01";"2021-04-15 11:01:58"
132;1;9;7;"2020-05-27";"2020-06-02";"2021-04-15 11:03:05"
133;1;9;7;"2020-05-27";"2020-06-02";"2021-04-15 11:03:36"
134;1;9;7;"2020-05-27";"2020-06-02";"2021-04-15 11:04:02"
135;1;4;1;"2020-05-27";"2020-06-17";"2021-04-15 11:04:36"
136;1;5;2;"2020-05-27";"2020-05-28";"2021-04-15 11:05:05"
142;1;13;11;"2020-05-28";"2020-05-28";"2021-04-15 11:34:59"
143;1;14;12;"2020-05-28";"2020-05-29";"2021-04-15 11:36:17"
144;1;10;9;"2020-05-28";"2020-05-29";"2021-04-15 11:36:59"
145;1;3;3;"2020-05-28";"2020-06-02";"2021-04-15 11:37:31"
146;1;3;3;"2020-05-28";"2020-06-02";"2021-04-15 11:38:00"
147;1;4;1;"2020-05-28";"2020-06-17";"2021-04-15 11:39:02"
148;1;11;10;"2020-05-28";"2020-06-17";"2021-04-15 11:39:43"
150;1;10;9;"2020-05-29";"2020-05-29";"2021-04-20 20:57:36"
151;1;13;11;"2020-05-29";"2020-05-29";"2021-04-15 11:49:06"
152;1;10;9;"2020-05-29";"2020-05-29";"2021-04-15 11:50:01"
153;1;10;9;"2020-05-29";"2020-05-29";"2021-04-15 11:50:21"
154;1;10;9;"2020-05-29";"2020-05-29";"2021-04-15 11:51:06"
155;1;8;6;"2020-05-29";"2020-06-01";"2021-04-15 11:57:29"
156;1;10;9;"2020-05-29";"2020-06-02";"2021-04-15 11:58:45"
157;1;10;9;"2020-05-29";"2020-06-02";"2021-04-15 11:59:10"
158;1;3;3;"2020-05-29";"2020-06-02";"2021-04-15 11:59:49"
159;1;11;10;"2020-05-29";"2020-06-17";"2021-04-15 12:03:00"
160;1;4;1;"2020-05-29";"2020-06-17";"2021-04-15 12:07:18"
167;1;10;9;"2020-06-01";"2020-06-02";"2021-04-15 12:31:40"
168;1;4;1;"2020-06-01";"2020-06-17";"2021-04-15 12:32:15"
171;1;15;13;"2020-06-02";"2020-06-04";"2021-04-15 12:37:30"
172;1;4;1;"2020-06-02";"2020-06-17";"2021-04-15 12:37:59"
173;1;4;1;"2020-06-02";"2020-06-17";"2021-04-15 12:38:21"
174;1;13;11;"2020-06-02";"2020-06-17";"2021-04-15 12:38:59"
177;1;9;7;"2020-06-04";"2020-06-08";"2021-04-15 12:50:30"
179;1;16;14;"2020-06-03";"2020-06-08";"2021-04-15 12:48:10"
180;1;11;10;"2020-06-03";"2020-06-17";"2021-04-15 12:48:54"
181;1;13;11;"2020-06-03";"2020-06-17";"2021-04-15 12:49:21"
182;1;9;7;"2020-06-04";"2020-06-08";"2021-04-15 12:50:30"
183;1;17;15;"2020-06-04";"2020-06-08";"2021-04-15 12:51:30"
184;1;17;15;"2020-06-04";"2020-06-08";"2021-04-15 12:51:58"
185;1;17;15;"2020-06-04";"2020-06-08";"2021-04-15 12:52:22"
186;1;17;15;"2020-06-04";"2020-06-08";"2021-04-15 12:52:48"
187;1;4;1;"2020-06-04";"2020-06-17";"2021-04-15 12:53:15"
189;1;13;11;"2020-06-05";"2020-06-17";"2021-04-15 12:55:21"
190;1;11;10;"2020-06-08";"2020-06-17";"2021-04-15 12:55:54"
191;1;11;10;"2020-06-08";"2020-06-17";"2021-04-15 12:56:31"
192;1;8;6;"2020-06-08";"2020-06-17";"2021-04-15 12:57:10"
199;1;8;6;"2020-06-09";"2020-06-17";"2021-04-15 13:40:54"
200;1;17;15;"2020-06-09";"2020-06-10";"2021-04-15 13:41:47"
201;1;10;9;"2020-06-09";"2020-12-03";"2021-04-15 13:43:11"
202;1;17;15;"2020-06-10";"2020-06-10";"2021-04-15 13:43:42"
203;1;9;7;"2020-06-10";"2020-08-12";"2021-04-15 13:44:09"
204;1;10;9;"2020-06-10";"2020-12-03";"2021-04-15 13:44:49"
205;1;18;16;"2020-06-12";"2020-07-07";"2021-04-15 13:47:51"
206;1;17;15;"2020-06-12";"2020-06-15";"2021-04-15 13:48:17"
207;1;9;7;"2020-06-12";"2020-08-12";"2021-04-15 13:49:02"
208;1;10;9;"2020-06-12";"2020-12-03";"2021-04-15 13:49:29"
209;1;18;16;"2020-06-17";"2020-07-10";"2021-04-15 13:50:13"
210;1;17;15;"2020-06-17";"2020-06-15";"2021-04-15 13:50:35"
211;1;9;7;"2020-06-17";"2020-08-12";"2021-04-15 13:51:01"
212;1;10;9;"2020-06-17";"2020-12-03";"2021-04-15 13:51:23"
216;1;8;6;"2020-06-18";"2020-06-30";"2021-04-15 14:04:53"
218;1;8;6;"2020-06-18";"2020-06-30";"2021-04-15 14:04:53"
219;1;3;3;"2020-06-18";"2020-07-01";"2021-04-15 14:05:23"
220;1;8;6;"2020-06-19";"2020-06-30";"2021-04-15 14:11:23"
221;1;9;7;"2020-06-22";"2020-08-12";"2021-04-15 14:11:58"
